refcode	metal	m_ox	totcharge	CN	N	geometry	min	coord_sphere	formula_ligs_list	TMC_formula	d_elec	elem_nr	groups	len_groups	name
AJELIK	Co	2	0	6	173	Octahedral	1.02	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H8-C4-N-O3', 'H8-C4-N-O3']	H20-C8-N2-O8-Co	7	27	['AJELIK']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
SIDRAZ	Co	2	2	6	165	Octahedral	0.75	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H8-C5-N2-O', 'H8-C5-N2-O']	H20-C10-N4-O4-Co	7	27	['SIDRAZ']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
IDUMAX	Co	2	0	6	213	Octahedral	2.24	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H8-C6-O4', 'H9-C10-N3']	H21-C16-N3-O6-Co	7	27	['IDUMAX']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
GAZTOQ	Co	2	2	6	245	Octahedral	0.79	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H8-C8-N4-O2', 'H8-C8-N4-O2']	H20-C16-N8-O6-Co	7	27	['GAZTOQ']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
YABNOG	Co	2	0	6	245	Octahedral	0.47	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H8-C9-N3-O2', 'H8-C9-N3-O2']	H20-C18-N6-O6-Co	7	27	['YABNOG']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
YODKIO	Co	2	0	6	273	Octahedral	0.33	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H9-C10-N4-O2', 'H9-C10-N4-O2']	H22-C20-N8-O6-Co	7	27	['YODKIO']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
RUGHUZ	Co	2	2	6	237	Octahedral	0.71	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H9-C12-N-O', 'H9-C12-N-O']	H22-C24-N2-O4-Co	7	27	['RUGHUZ', 'YIDMUU']	2	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
UDUYUN	Co	2	0	6	313	Octahedral	0.71	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H9-C12-N3', 'H9-C12-N3', 'N-O3', 'N-O3']	H22-C24-N8-O8-Co	7	27	['UDUYUN']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
LISMOR	Co	2	0	6	293	Octahedral	0.86	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H9-C14-N2-O2', 'H9-C14-N2-O2']	H22-C28-N4-O6-Co	7	27	['LISMOR']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
NOPDON	Co	2	2	6	177	Octahedral	0.05	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H9-C7-N-O', 'H9-C7-N-O']	H22-C14-N2-O4-Co	7	27	['NOPDON', 'AFUWIJ', 'HULYES']	3	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
