refcode,Charge,low spin,low spin energy,low spin expectation,Theoretical LS expecation,high spin,high spin energy,high spin expectation,Theoretical HS expectation,splitting,rel_m,multiplicity
TUHCOQ,0.0,0.5,-2861.429956,1.1676,0.75,2.5,-2861.463423,8.7613,8.75,-21.000490205895,1.028392315026860,6.0
UHEZOX,0.0,0.5,-2775.034214,0.8528,0.75,2.5,-2775.052715,8.7599,8.75,-11.609622285545,1.0420366996303400,6.0
UMAXIQ,2.0,0.0,-2365.641481,0.0,0.0,2.0,-2365.663924,6.0137,6.0,-14.083183158310000,1.131427708738860,5.0
USIMOA,2.0,0.0,-1957.413723,0.0,0.0,2.0,-1957.458547,6.0051,6.0,-28.127222274010000,1.099782782995470,5.0
VEYFEL,0.0,0.5,-2425.36597,0.9592,0.75,2.5,-2425.398403,8.762,8.75,-20.35231681806,1.025759269009570,6.0
VEYFIP,0.0,0.5,-2464.669555,1.0141,0.75,2.5,-2464.701288,8.762,8.75,-19.912815439355,1.0270304886825400,6.0
VIRJUC,-1.0,0.5,-2375.281568,0.7618,0.75,2.5,-2375.153503,8.8162,8.75,80.362211195635,0.9299271595854460,2.0
VUBSOA,0.0,0.5,-2299.153544,0.8765,0.75,2.5,-2299.173832,8.7572,8.75,-12.730893910715000,1.0104889472503900,6.0
WABHIR,-2.0,0.0,-2967.528496,0.0,0.0,2.0,-2967.572439,6.0051,6.0,-27.57418560147,1.1111232781241500,5.0
WABYIJ,0.0,0.5,-3139.916659,1.0477,0.75,2.5,-3139.9482,8.7606,8.75,-19.792220663645,1.041206548640790,6.0
WITQEV,3.0,0.5,-2614.393088,0.8919,0.75,2.5,-2614.425535,8.7552,8.75,-20.361246278245000,1.008089473400490,6.0
WIYGOA,2.0,0.0,-2964.60146,0.0,0.0,2.0,-2964.637203,6.0111,6.0,-22.42908460869,1.1182251506755200,5.0
WODKAB,0.0,0.0,-2367.535748,0.0,0.0,2.0,-2367.56863,6.0237,6.0,-20.6340183828,1.1044439872646700,5.0
XIWMAS,0.0,0.5,-3692.563649,0.9907,0.75,2.5,-3692.596807,8.7601,8.75,-20.80690980024,1.0420803795663900,6.0
XIWMEW,0.0,0.5,-3768.773966,0.9891,0.75,2.5,-3768.809761,8.7598,8.75,-22.461671177025,1.046032089157530,6.0
XOVQIK,2.0,0.0,-2142.794989,0.0,0.0,2.0,-2142.822988,6.0065,6.0,-17.569732616925000,1.0949178810995900,5.0
XUFYIG,0.0,0.0,-2872.1583,0.0,0.0,2.0,-2872.20159,6.0273,6.0,-27.16457250025,1.11922928941153,5.0
YEBTUX,0.0,0.0,-2621.804077,0.0,0.0,2.0,-2621.839727,6.006,6.0,-22.37057562291,1.108200844815670,5.0
YEMRUE,0.0,0.5,-3079.776479,0.9508,0.75,2.5,-3079.806983,8.7598,8.75,-19.141982769555,1.04803368089826,6.0
YEYPEY,0.0,0.0,-2457.964418,0.0,0.0,2.0,-2457.986587,6.0083,6.0,-13.911220454930000,1.113125041588790,5.0
YITNEV,-1.0,0.5,-2401.734447,0.763,0.75,2.5,-2401.616169,8.7585,8.75,74.220813369705,0.9302421767177200,2.0
YOYVEQ,2.0,0.0,-2405.508136,0.0,0.0,2.0,-2405.429892,6.0257,6.0,49.09890351876,0.9412829854843550,1.0
YUKPAV,0.0,0.5,-3163.868379,0.9663,0.75,2.5,-3163.899252,8.7589,8.75,-19.37336434749,1.0680694724358100,6.0
YUXPIT,0.0,0.5,-4136.099956,0.8651,0.75,2.5,-4136.124506,8.7591,8.75,-15.405427251045,1.0443448088443100,6.0
YUYHOR,0.0,0.0,-2265.861392,0.0,0.0,2.0,-2265.799031,6.0746,6.0,39.13229563216,0.9579039090544390,1.0
ZEKGAZ,2.0,0.0,-2332.804523,0.0,0.0,2.0,-2332.837158,6.0376,6.0,-20.479205514055,1.1037562647650900,5.0
ZEKRIQ,1.0,0.5,-2830.208763,0.7668,0.75,2.5,-2830.130501,8.7642,8.75,49.10993513577,0.9425051520701780,2.0
ZIBTIQ,1.0,0.5,-2907.916522,1.1375,0.75,2.5,-2907.937075,8.7599,8.75,-12.89737845616,1.0518836295506100,6.0
ZIBTUC,1.0,0.5,-2832.687893,1.1048,0.75,2.5,-2832.708316,8.76,8.75,-12.81547591622,1.0485997149747100,6.0
ZIMLUC,2.0,0.0,-2397.011495,0.0,0.0,2.0,-2397.040044,6.0071,6.0,-17.914749890215,1.1142185259209300,5.0
CEYSAA,-1.0,0.0,-2277.265855,0.0,0.0,2.0,-2277.187389,6.0119,6.0,49.23775882092,0.925877503636467,1.0
JUXPUN,1.0,0.0,-2718.010279,0.0,0.0,2.0,-2718.057799,6.0001,6.0,-29.819584020035,1.1170888818525400,5.0
ODAJUB,1.0,0.0,-2698.169748,0.0,0.0,2.0,-2698.208406,6.0001,6.0,-24.258130474005,1.1151595526814300,5.0
